dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,phase,sigma,variant
Actor,GraphSAGE,none,{},456,06e54a47c487,0.2188,0.00052,0.3375,0.3178,0.9095,0.572,random_40_20_40,0.3259,0.6599,0.8798,0.8063,0.84,0.7826,0.0013,0.0122,0.786,0.786,0.8788,0.8013,,,0.6151,0.5868,0.0151,0.0444,0.2604,5.4593,1,,confirm,,none
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",456,06e54a47c487,0.2188,0.00052,0.2796,0.2809,0.653,0.3734,random_40_20_40,0.2645,0.572,0.7366,0.6924,0.7376,0.6947,0.0,0.026,0.6867,0.6867,0.7362,0.6908,,,0.5619,0.5467,0.0036,0.0349,0.2995,5.4733,1,,confirm,,lbp
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",456,06e54a47c487,0.2188,0.00052,0.3095,0.3533,0.7691,0.4595,random_40_20_40,0.2939,0.607,0.7869,0.7329,0.7771,0.7266,0.0,0.0,0.7298,0.7298,0.7884,0.7359,,,0.5604,0.5428,0.0099,0.0336,0.2633,18.3597,1,,confirm,,sami_selected
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",456,06e54a47c487,0.2188,0.00052,0.3095,0.3533,0.7691,0.4595,random_40_20_40,0.2939,0.607,0.7869,0.7329,0.7771,0.7266,0.0,0.0,0.7298,0.7298,0.7884,0.7359,,,0.5603,0.5429,0.0099,0.0332,0.2633,20.1865,1,,confirm,,sami_locked035
Actor,GraphSAGE,none,{},789,06e54a47c487,0.2188,0.00052,0.328,0.3467,0.9092,0.5813,random_40_20_40,0.3121,0.6522,0.8761,0.7961,0.8399,0.7799,0.0053,0.0187,0.7906,0.7906,0.8723,0.7957,,,0.6044,0.5832,0.0072,0.0263,0.2792,5.7614,1,,confirm,,none
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",789,06e54a47c487,0.2188,0.00052,0.2911,0.2743,0.652,0.3609,random_40_20_40,0.2747,0.5771,0.7325,0.6964,0.7301,0.6859,0.0,0.0,0.6804,0.6804,0.7346,0.6974,,,0.5389,0.5257,0.002,0.022,0.2895,8.0926,1,,confirm,,lbp
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",789,06e54a47c487,0.2188,0.00052,0.3072,0.3493,0.7559,0.4487,random_40_20_40,0.2823,0.5947,0.7794,0.7349,0.7702,0.7168,0.0,0.0253,0.7243,0.7243,0.7811,0.7345,,,0.5514,0.5368,0.0033,0.0266,0.2735,23.7407,1,,confirm,,sami_selected
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",789,06e54a47c487,0.2188,0.00052,0.3079,0.35,0.7576,0.4497,random_40_20_40,0.2831,0.5948,0.7794,0.7352,0.7703,0.7174,0.0,0.0253,0.7248,0.7248,0.7812,0.7345,,,0.5512,0.5367,0.0033,0.027,0.2729,22.9165,1,,confirm,,sami_locked035
Actor,GraphSAGE,none,{},1024,06e54a47c487,0.2188,0.00052,0.3395,0.3467,0.902,0.5625,random_40_20_40,0.3217,0.6609,0.871,0.7944,0.8247,0.7727,0.0003,0.0118,0.7812,0.7812,0.8703,0.7977,,,0.591,0.5706,0.0082,0.0296,0.2603,6.4291,1,,confirm,,none
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",1024,06e54a47c487,0.2188,0.00052,0.2914,0.3151,0.6484,0.3569,random_40_20_40,0.2733,0.5698,0.7418,0.6911,0.7373,0.6888,0.0,0.0303,0.6785,0.6785,0.7433,0.7003,,,0.5286,0.5179,0.0016,0.024,0.2818,4.8448,1,,confirm,,lbp
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",1024,06e54a47c487,0.2188,0.00052,0.3247,0.323,0.7388,0.4141,random_40_20_40,0.2986,0.6095,0.7579,0.7105,0.7508,0.7049,0.0,0.0247,0.7071,0.7071,0.7615,0.7148,,,0.5394,0.5316,0.0033,0.0263,0.2466,15.5579,1,,confirm,,sami_selected
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",1024,06e54a47c487,0.2188,0.00052,0.3247,0.323,0.7388,0.4141,random_40_20_40,0.2986,0.6095,0.7579,0.7105,0.7508,0.7049,0.0,0.0247,0.7071,0.7071,0.7615,0.7148,,,0.5394,0.5316,0.0033,0.0263,0.2466,15.9583,1,,confirm,,sami_locked035
