dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected
ogbn-arxiv,GraphSAGE,none,{},42,07773cb6cd14,0.6542,8.1e-05,0.6629,0.6693,0.6699,0.007,ogb_official,0.3953,0.9569,0.5221,0.6524,0.5131,0.5083,0.0079,0.0438,0.5035,0.554,0.5622,0.6524,,,0.5009,0.4215,0.0016,0.012,0.0554,76.531,1,,,,,,,
ogbn-arxiv,GraphSAGE,none,{},123,07773cb6cd14,0.6542,8.1e-05,0.6661,0.6686,0.6618,-0.0043,ogb_official,0.3837,0.9569,0.5302,0.6496,0.5068,0.5022,0.0073,0.0387,0.4978,0.5476,0.5573,0.6496,,,0.5025,0.4232,0.0013,0.0128,0.0391,96.3508,1,,,,,,,
ogbn-arxiv,GraphSAGE,lbp,"{""scale"": 0.3}",42,07773cb6cd14,0.6542,8.1e-05,0.1753,0.1823,0.1863,0.011,ogb_official,0.0788,0.6685,0.506,0.6524,0.5091,0.5073,0.0014,0.0111,0.5055,0.4087,0.5069,0.6524,,,0.4997,0.4173,0.0009,0.0103,0.0095,92.6417,1,,50802.9,1.0,,0.3,1.0,169343.0
ogbn-arxiv,GraphSAGE,lbp,"{""scale"": 0.3}",123,07773cb6cd14,0.6542,8.1e-05,0.184,0.1905,0.1901,0.0061,ogb_official,0.0804,0.6528,0.5026,0.6496,0.5036,0.503,0.0007,0.01,0.5031,0.4081,0.5049,0.6496,,,0.4967,0.4164,0.0008,0.0108,0.0112,87.9019,1,,50802.9,1.0,,0.3,1.0,169343.0
ogbn-arxiv,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 3, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,07773cb6cd14,0.6542,8.1e-05,0.5971,0.5753,0.4587,-0.1384,ogb_official,0.2986,0.8209,0.6682,0.6583,0.4114,0.405,0.0076,0.0411,0.4308,0.4393,0.6862,0.6684,,,0.5132,0.4252,0.0006,0.0098,0.0871,113.1626,1,,20321.7,0.4,0.1745,0.12,0.4,67739.0
ogbn-arxiv,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 3, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,07773cb6cd14,0.6542,8.1e-05,0.5984,0.5739,0.457,-0.1414,ogb_official,0.2853,0.822,0.6764,0.6594,0.4088,0.4018,0.0071,0.0363,0.4293,0.4377,0.6897,0.6738,,,0.5136,0.4266,0.0007,0.0106,0.0777,120.5671,1,,20321.7,0.4,0.1745,0.12,0.4,67739.0
ogbn-arxiv,GraphSAGE,none,{},456,07773cb6cd14,0.6542,8.1e-05,0.6691,0.6726,0.6718,0.0027,ogb_official,0.391,0.9565,0.5299,0.6513,0.5114,0.5069,0.0067,0.0408,0.5014,0.5531,0.5629,0.6513,,,0.5014,0.4209,0.0011,0.0106,0.0597,82.8581,1,,,,,,,
ogbn-arxiv,GraphSAGE,lbp,"{""scale"": 0.3}",456,07773cb6cd14,0.6542,8.1e-05,0.1768,0.1859,0.1862,0.0094,ogb_official,0.0799,0.6644,0.5072,0.6513,0.5072,0.5049,0.0013,0.0118,0.5047,0.4081,0.5051,0.6513,,,0.499,0.4149,0.0013,0.0104,0.0111,75.8637,1,,50802.9,1.0,,0.3,1.0,169343.0
ogbn-arxiv,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 3, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,07773cb6cd14,0.6542,8.1e-05,0.6014,0.5758,0.4571,-0.1442,ogb_official,0.2974,0.821,0.6712,0.6606,0.4092,0.4034,0.0065,0.0384,0.4279,0.4368,0.6888,0.673,,,0.516,0.4258,0.0005,0.0101,0.0908,118.3517,1,,20321.7,0.4,0.1745,0.12,0.4,67739.0
